one,two
0.540302306,1
-0.416146837,2
-0.989992497,3
-0.653643621,4
0.283662185,5
0.960170287,6
0.753902254,7
-0.145500034,8
-0.911130262,9
-0.839071529,10
0.004425698,11
0.843853959,12
0.907446781,13
0.136737218,14
-0.759687913,15
-0.95765948,16
-0.275163338,17
0.660316708,18
0.988704618,19
0.408082062,20
-0.54772926,21
-0.999960826,22
-0.53283302,23
0.424179007,24
0.991202812,25
0.646919322,26
-0.292138809,27
-0.962605866,28
-0.74805753,29
0.15425145,30
0.914742358,31
0.834223361,32
-0.013276747,33
-0.848570275,34
-0.903692205,35
-0.12796369,36
0.765414052,37
0.955073644,38
0.266642932,39
-0.666938062,40
-0.987339278,41
-0.399985315,42
0.555113302,43
0.999843309,44
0.525321989,45
-0.432177945,46
-0.992335469,47
-0.640144339,48
0.300592544,49
0.964966028,50
0.742154197,51
-0.162990781,52
-0.918282786,53
-0.829309833,54
0.022126756,55
0.853220108,56
0.899866827,57
0.119180135,58
-0.771080223,59
-0.95241298,60
0.540302306,1
-0.416146837,2
-0.989992497,3
-0.653643621,4
0.283662185,5
0.960170287,6
0.753902254,7
-0.145500034,8
-0.911130262,9
-0.839071529,10
0.004425698,11
0.843853959,12
0.907446781,13
0.136737218,14
-0.759687913,15
-0.95765948,16
-0.275163338,17
0.660316708,18
0.988704618,19
0.408082062,20
-0.54772926,21
-0.999960826,22
-0.53283302,23
0.424179007,24
0.991202812,25
0.646919322,26
-0.292138809,27
-0.962605866,28
-0.74805753,29
0.15425145,30
0.914742358,31
0.834223361,32
-0.013276747,33
-0.848570275,34
-0.903692205,35
-0.12796369,36
0.765414052,37
0.955073644,38
0.266642932,39
-0.666938062,40
-0.987339278,41
-0.399985315,42
0.555113302,43
0.999843309,44
0.525321989,45
-0.432177945,46
-0.992335469,47
-0.640144339,48
0.300592544,49
0.964966028,50
0.742154197,51
-0.162990781,52
-0.918282786,53
-0.829309833,54
0.022126756,55
0.853220108,56
0.899866827,57
0.119180135,58
-0.771080223,59
-0.95241298,60
0.540302306,1
-0.416146837,2
-0.989992497,3
-0.653643621,4
0.283662185,5
0.960170287,6
0.753902254,7
-0.145500034,8
-0.911130262,9
-0.839071529,10
0.004425698,11
0.843853959,12
0.907446781,13
0.136737218,14
-0.759687913,15
-0.95765948,16
-0.275163338,17
0.660316708,18
0.988704618,19
0.408082062,20
-0.54772926,21
-0.999960826,22
-0.53283302,23
0.424179007,24
0.991202812,25
0.646919322,26
-0.292138809,27
-0.962605866,28
-0.74805753,29
0.15425145,30
0.914742358,31
0.834223361,32
-0.013276747,33
-0.848570275,34
-0.903692205,35
-0.12796369,36
0.765414052,37
0.955073644,38
0.266642932,39
-0.666938062,40
-0.987339278,41
-0.399985315,42
0.555113302,43
0.999843309,44
0.525321989,45
-0.432177945,46
-0.992335469,47
-0.640144339,48
0.300592544,49
0.964966028,50
0.742154197,51
-0.162990781,52
-0.918282786,53
-0.829309833,54
0.022126756,55
0.853220108,56
0.899866827,57
0.119180135,58
-0.771080223,59
-0.95241298,60
0.540302306,1
-0.416146837,2
-0.989992497,3
-0.653643621,4
0.283662185,5
0.960170287,6
0.753902254,7
-0.145500034,8
-0.911130262,9
-0.839071529,10
0.004425698,11
0.843853959,12
0.907446781,13
0.136737218,14
-0.759687913,15
-0.95765948,16
-0.275163338,17
0.660316708,18
0.988704618,19
0.408082062,20
-0.54772926,21
-0.999960826,22
-0.53283302,23
0.424179007,24
0.991202812,25
0.646919322,26
-0.292138809,27
-0.962605866,28
-0.74805753,29
0.15425145,30
0.914742358,31
0.834223361,32
-0.013276747,33
-0.848570275,34
-0.903692205,35
-0.12796369,36
0.765414052,37
0.955073644,38
0.266642932,39
-0.666938062,40
-0.987339278,41
-0.399985315,42
0.555113302,43
0.999843309,44
0.525321989,45
-0.432177945,46
-0.992335469,47
-0.640144339,48
0.300592544,49
0.964966028,50
0.742154197,51
-0.162990781,52
-0.918282786,53
-0.829309833,54
0.022126756,55
0.853220108,56
0.899866827,57
0.119180135,58
-0.771080223,59
-0.95241298,60
0.540302306,1
-0.416146837,2
-0.989992497,3
-0.653643621,4
0.283662185,5
0.960170287,6
0.753902254,7
-0.145500034,8
-0.911130262,9
-0.839071529,10
0.004425698,11
0.843853959,12
0.907446781,13
0.136737218,14
-0.759687913,15
-0.95765948,16
-0.275163338,17
0.660316708,18
0.988704618,19
0.408082062,20
-0.54772926,21
-0.999960826,22
-0.53283302,23
0.424179007,24
0.991202812,25
0.646919322,26
-0.292138809,27
-0.962605866,28
-0.74805753,29
0.15425145,30
0.914742358,31
0.834223361,32
-0.013276747,33
-0.848570275,34
-0.903692205,35
-0.12796369,36
0.765414052,37
0.955073644,38
0.266642932,39
-0.666938062,40
-0.987339278,41
-0.399985315,42
0.555113302,43
0.999843309,44
0.525321989,45
-0.432177945,46
-0.992335469,47
-0.640144339,48
0.300592544,49
0.964966028,50
0.742154197,51
-0.162990781,52
-0.918282786,53
-0.829309833,54
